IdPuntoRecarga|Operador|Direccion|CodPostal|Provincia|Municipio|Localizacion|CoordenadaXDec|CoordenadaYDec|PotenciaMaxima
ES*IBD*E234836|IBERDROLA CLIENTES S.A.U|Sierra De Los Amantes,N/A|50300|ZARAGOZA|CALATAYUD|EN LA CALLE|-1.680724|41.317261|50.00
ES*IBD*E235992|IBERDROLA CLIENTES S.A.U|Alqueria De Culla,21|46910|VALENCIA|ALFAFAR|EN LA CALLE|-0.381488|39.415885|22.00
ES*IBD*E250412|IBERDROLA CLIENTES S.A.U|Retuerto,68|48903|BIZKAIA|BARAKALDO|APARCAMIENTO EN SUPERFICIE|-3.004674|43.287143|50.00
ES*IBD*E249755|IBERDROLA CLIENTES S.A.U|San Pablo,51|28823|MADRID|COSLADA|APARCAMIENTO ÁEREO|-3.532796|40.431115|22.00
ES*IBD*E251284|IBERDROLA CLIENTES S.A.U|Poligono De Cross,4|39600|CANTABRIA|CAMARGO|APARCAMIENTO ÁEREO|-3.842097|43.425901|22.00
ES*IBD*E263180|IBERDROLA CLIENTES S.A.U|Sector Pla Dell,0|8490|BARCELONA|TORDERA|APARCAMIENTO EN SUPERFICIE|2.723477|41.695025|22.00
ES*IBD*E262084|IBERDROLA CLIENTES S.A.U|Generalife,1|28810|MADRID|VILLALBILLA|APARCAMIENTO EN SUPERFICIE|-3.350443|40.445522|22.00
ES*IBD*E233478|IBERDROLA CLIENTES S.A.U|Zarzuela,21|28023|MADRID|MADRID|EN LA CALLE|-3.786321|40.465349|100.00
ES*CRF*EELPINAR|CENTROS COMERCIALES CARREFOUR SA|CTRA DE L A CORUÑA A6, PK 22|28232|Madrid|Rozas de Madrid, Las|APARCAMIENTO EN SUPERFICIE|-3.8849868|40.524045|150.00
ES*CRF*EMAJADAHONDA|CENTROS COMERCIALES CARREFOUR SA|CALLE MORERA 2|28222|Madrid|Majadahonda|APARCAMIENTO EN SUPERFICIE|-3.8693066|40.453047|150.00
ES*CRF*E_RIVAS|CENTROS COMERCIALES CARREFOUR SA|AVDA DE LA TECNICA S/N|28524|Madrid|Rivas-Vaciamadrid|APARCAMIENTO EN SUPERFICIE|-3.5363479|40.3408555|150.00
